,index,country,response
0,2020-02-15,Brazil,0.5832273845144105
1,2020-02-16,Brazil,0.6115734947276019
2,2020-02-17,Brazil,0.6398681334520608
3,2020-02-18,Brazil,0.6681011262793115
4,2020-02-19,Brazil,0.6962146135035239
5,2020-02-20,Brazil,0.7242426706860119
6,2020-02-21,Brazil,0.7525235209241457
7,2020-02-22,Brazil,0.7808753159034287
8,2020-02-23,Brazil,0.8088400746195843
9,2020-02-24,Brazil,0.8367379506790993
10,2020-02-25,Brazil,0.8645812766581864
11,2020-02-26,Brazil,0.8923344877260968
12,2020-02-27,Brazil,0.9200531037427222
13,2020-02-28,Brazil,0.9480953095450801
14,2020-02-29,Brazil,0.9762971269187521
15,2020-03-01,Brazil,1.004215783379574
16,2020-03-02,Brazil,1.0152261842323984
17,2020-03-03,Brazil,1.0263063513293331
18,2020-03-04,Brazil,1.0374251431915384
19,2020-03-05,Brazil,1.0486382477401728
20,2020-03-06,Brazil,1.060299596191543
21,2020-03-07,Brazil,1.0722364784352072
22,2020-03-08,Brazil,1.0839929691116263
23,2020-03-09,Brazil,1.0958838521948309
24,2020-03-10,Brazil,1.1079085055125524
25,2020-03-11,Brazil,1.1200108559971134
26,2020-03-12,Brazil,1.1322185887868037
27,2020-03-13,Brazil,1.144855148927117
28,2020-03-14,Brazil,1.1577155232550629
29,2020-03-15,Brazil,1.1703103967861002
30,2020-03-16,Brazil,1.1829208546246117
31,2020-03-17,Brazil,1.1955130725560545
32,2020-03-18,Brazil,1.2079990877927873
33,2020-03-19,Brazil,1.2203768131008728
34,2020-03-20,Brazil,1.2329428130910256
35,2020-03-21,Brazil,1.245468810723564
36,2020-03-22,Brazil,1.2574464997470285
37,2020-03-23,Brazil,1.2691428169096324
38,2020-03-24,Brazil,1.2805151017907166
39,2020-03-25,Brazil,1.2914722226945852
40,2020-03-26,Brazil,1.3020148214422291
41,2020-03-27,Brazil,1.312448188382894
42,2020-03-28,Brazil,1.3225587313653984
43,2020-03-29,Brazil,1.3318586133726962
44,2020-03-30,Brazil,1.3406407149960589
45,2020-03-31,Brazil,1.3488933552612283
46,2020-04-01,Brazil,1.3565608581320125
