country,index,EDI
Brazil,2008-01-01,2.375690565448833
Brazil,2008-02-01,2.556432580860953
Brazil,2008-03-01,2.6233446942416627
Brazil,2008-04-01,2.859230351475544
Brazil,2008-05-01,3.352902013259447
Brazil,2008-06-01,3.195717450542087
Brazil,2008-07-01,2.8255740588779386
Brazil,2008-08-01,2.7070756125894118
Brazil,2008-09-01,2.1582133102147507
Brazil,2008-10-01,1.230601146073601
Brazil,2008-11-01,1.0401546394028
Brazil,2008-12-01,1.0345994837220494
Brazil,2009-01-01,0.9661032905323967
Brazil,2009-02-01,1.0366566091131537
Brazil,2009-03-01,0.988443085614688
Brazil,2009-04-01,1.2388604553992995
Brazil,2009-05-01,1.582492412827782
Brazil,2009-06-01,1.801430892018133
Brazil,2009-07-01,1.862580037776362
Brazil,2009-08-01,2.137919806237889
Brazil,2009-09-01,2.3202761739496385
Brazil,2009-10-01,2.7318729569717064
Brazil,2009-11-01,2.8339138368826067
Brazil,2009-12-01,2.843932928143558
Brazil,2010-01-01,2.981259865020995
Brazil,2010-02-01,2.822121992911878
Brazil,2010-03-01,3.07724019807746
Brazil,2010-04-01,3.283245709277157
Brazil,2010-05-01,2.859770366804254
Brazil,2010-06-01,2.9340273375782004
Brazil,2010-07-01,3.080053906771239
Brazil,2010-08-01,3.2486737011368176
Brazil,2010-09-01,3.4556856303739685
Brazil,2010-10-01,3.720268800744643
Brazil,2010-11-01,3.664538187384944
Brazil,2010-12-01,3.5917278057837283
Brazil,2011-01-01,3.7268757754547543
Brazil,2011-02-01,3.591480557703319
Brazil,2011-03-01,3.7037712601627137
Brazil,2011-04-01,3.927739405074582
Brazil,2011-05-01,3.7016374745262226
Brazil,2011-06-01,3.677361928088681
Brazil,2011-07-01,3.6717635096129335
Brazil,2011-08-01,3.2872921959172903
Brazil,2011-09-01,3.122203934693646
Brazil,2011-10-01,3.18279202571558
Brazil,2011-11-01,3.2925996716284125
Brazil,2011-12-01,3.26131246472931
Brazil,2012-01-01,3.5579577347203544
Brazil,2012-02-01,3.882666672978855
Brazil,2012-03-01,3.8340643249477
Brazil,2012-04-01,3.6333509921791407
Brazil,2012-05-01,3.251872828111047
Brazil,2012-06-01,3.0862367061891085
Brazil,2012-07-01,3.162036580082489
Brazil,2012-08-01,3.3000564067999423
Brazil,2012-09-01,3.3768036730145266
Brazil,2012-10-01,3.3678324832011914
Brazil,2012-11-01,3.269073455335153
Brazil,2012-12-01,3.312055429478505
Brazil,2013-01-01,3.514949885627949
Brazil,2013-02-01,3.4250356933040447
Brazil,2013-03-01,3.394665287773971
Brazil,2013-04-01,3.334039730604994
Brazil,2013-05-01,3.336315705899816
Brazil,2013-06-01,3.0134537217778656
Brazil,2013-07-01,2.965298516627481
Brazil,2013-08-01,3.01590885902668
Brazil,2013-09-01,3.205096104569236
Brazil,2013-10-01,3.391102874781895
Brazil,2013-11-01,3.2683830614534473
Brazil,2013-12-01,3.2021816156348955
Brazil,2014-01-01,3.1291792950599273
Brazil,2014-02-01,3.083895470144203
Brazil,2014-03-01,3.090480036279166
Brazil,2014-04-01,3.4468783456275496
Brazil,2014-05-01,3.5092659336604175
Brazil,2014-06-01,3.5308039270324993
Brazil,2014-07-01,3.7161101452779772
Brazil,2014-08-01,3.736103854176541
Brazil,2014-09-01,3.6940526319263856
Brazil,2014-10-01,3.538920504685443
Brazil,2014-11-01,3.444641751032581
Brazil,2014-12-01,3.269881668809969
Brazil,2015-01-01,3.265185133993734
Brazil,2015-02-01,3.1860281142003726
Brazil,2015-03-01,3.030470072370532
Brazil,2015-04-01,3.249158957552965
Brazil,2015-05-01,3.2338422699395704
Brazil,2015-06-01,3.10480375378182
Brazil,2015-07-01,3.028748578674417
Brazil,2015-08-01,2.7949200045656983
Brazil,2015-09-01,2.6145469524799054
Brazil,2015-10-01,2.6045479042465445
Brazil,2015-11-01,2.5836946920321004
Brazil,2015-12-01,2.5133301446150504
