,country,EDI,index
124,Brazil,3.8955941563013394,2020-06-04
125,Brazil,3.8975039373930738,2020-06-05
126,Brazil,3.899413718484808,2020-06-06
127,Brazil,3.9013234995765425,2020-06-07
128,Brazil,3.903233280668277,2020-06-08
129,Brazil,3.9051430617600116,2020-06-09
130,Brazil,3.907052842851746,2020-06-10
131,Brazil,3.9089626239434803,2020-06-11
132,Brazil,3.9108724050352146,2020-06-12
133,Brazil,3.912782186126949,2020-06-13
134,Brazil,3.9146919672186837,2020-06-14
135,Brazil,3.916601748310418,2020-06-15
136,Brazil,3.9185115294021524,2020-06-16
137,Brazil,3.9204213104938868,2020-06-17
138,Brazil,3.922331091585621,2020-06-18
139,Brazil,3.924240872677356,2020-06-19
140,Brazil,3.9261506537690902,2020-06-20
141,Brazil,3.9280604348608246,2020-06-21
142,Brazil,3.929970215952559,2020-06-22
143,Brazil,3.9318799970442933,2020-06-23
144,Brazil,3.933789778136028,2020-06-24
145,Brazil,3.9356995592277624,2020-06-25
146,Brazil,3.9376093403194967,2020-06-26
147,Brazil,3.939519121411231,2020-06-27
148,Brazil,3.9414289025029654,2020-06-28
149,Brazil,3.9433386835947,2020-06-29
150,Brazil,3.9452484646864345,2020-06-30
151,Brazil,3.947158245778169,2020-07-01
0,Canada,7.096393448125867,2020-02-01
1,Canada,7.054202197475605,2020-02-02
2,Canada,7.012010946825343,2020-02-03
3,Canada,6.9698196961750805,2020-02-04
4,Canada,6.927628445524819,2020-02-05
5,Canada,6.885437194874557,2020-02-06
6,Canada,6.843245944224295,2020-02-07
7,Canada,6.801054693574033,2020-02-08
8,Canada,6.75886344292377,2020-02-09
9,Canada,6.716672192273508,2020-02-10
10,Canada,6.674480941623246,2020-02-11
11,Canada,6.632289690972985,2020-02-12
12,Canada,6.5900984403227225,2020-02-13
13,Canada,6.54790718967246,2020-02-14
14,Canada,6.505715939022198,2020-02-15
15,Canada,6.463524688371936,2020-02-16
16,Canada,6.421333437721674,2020-02-17
17,Canada,6.379142187071412,2020-02-18
18,Canada,6.33695093642115,2020-02-19
19,Canada,6.294759685770888,2020-02-20
20,Canada,6.252568435120626,2020-02-21
21,Canada,6.210377184470364,2020-02-22
22,Canada,6.1681859338201015,2020-02-23
23,Canada,6.125994683169839,2020-02-24
24,Canada,6.083803432519577,2020-02-25
25,Canada,6.041612181869315,2020-02-26
26,Canada,5.999420931219054,2020-02-27
27,Canada,5.957229680568791,2020-02-28
28,Canada,5.915038429918529,2020-02-29
29,Canada,5.872847179268267,2020-03-01
30,Canada,5.847098817488749,2020-03-02
31,Canada,5.821350455709229,2020-03-03
32,Canada,5.795602093929711,2020-03-04
33,Canada,5.769853732150192,2020-03-05
34,Canada,5.744105370370674,2020-03-06
35,Canada,5.718357008591155,2020-03-07
36,Canada,5.692608646811636,2020-03-08
37,Canada,5.666860285032118,2020-03-09
38,Canada,5.641111923252599,2020-03-10
39,Canada,5.61536356147308,2020-03-11
40,Canada,5.5896151996935615,2020-03-12
41,Canada,5.563866837914043,2020-03-13
42,Canada,5.538118476134525,2020-03-14
43,Canada,5.512370114355005,2020-03-15
44,Canada,5.486621752575487,2020-03-16
45,Canada,5.460873390795968,2020-03-17
46,Canada,5.43512502901645,2020-03-18
47,Canada,5.409376667236931,2020-03-19
48,Canada,5.383628305457412,2020-03-20
49,Canada,5.357879943677894,2020-03-21
50,Canada,5.332131581898375,2020-03-22
51,Canada,5.306383220118856,2020-03-23
52,Canada,5.280634858339337,2020-03-24
53,Canada,5.254886496559819,2020-03-25
