response,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Country,Population,population_density,Birthrate,Deathrate,Agriculture,Industry,Service,total_cases,total_cases_per_million,new_cases_per_million,new_deaths_per_million,stringency_index,population,population_density,hospital_beds_per_thousand
1.2203768131008728,-36,2,-34,-31,-17,10,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,428,2.0140000000000002,0.645,0.013999999999999999,66.2,212559409,25.04,2.2
1.2329428130910256,-45,0,-45,-37,-21,13,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,621,2.9219999999999997,0.9079999999999999,0.009000000000000001,66.2,212559409,25.04,2.2
1.245468810723564,-63,-16,-66,-50,-30,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,904,4.253,1.331,0.024,71.76,212559409,25.04,2.2
1.2574464997470285,-72,-33,-75,-60,-34,17,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1128,5.307,1.054,0.033,71.76,212559409,25.04,2.2
1.2691428169096324,-65,-26,-61,-58,-42,20,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1546,7.273,1.9669999999999999,0.033,71.76,212559409,25.04,2.2
1.2805151017907166,-71,-33,-62,-63,-51,22,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1891,8.896,1.6230000000000002,0.042,71.76,212559409,25.04,2.2
1.2914722226945852,-69,-32,-57,-63,-52,23,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,2201,10.355,1.4580000000000002,0.055999999999999994,71.76,212559409,25.04,2.2
1.3020148214422291,-69,-29,-54,-62,-50,22,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,2433,11.446,1.091,0.052000000000000005,71.76,212559409,25.04,2.2
1.312448188382894,-67,-26,-56,-60,-48,23,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,2915,13.714,2.2680000000000002,0.094,74.54,212559409,25.04,2.2
1.3225587313653984,-70,-27,-64,-59,-41,19,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,3417,16.076,2.362,0.071,74.54,212559409,25.04,2.2
1.3318586133726962,-71,-35,-70,-62,-34,17,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,3904,18.367,2.291,0.10400000000000001,74.54,212559409,25.04,2.2
1.3406407149960589,-62,-26,-55,-59,-43,20,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,4256,20.023,1.656,0.10400000000000001,74.54,212559409,25.04,2.2
1.3488933552612283,-60,-21,-53,-58,-45,19,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,4579,21.541999999999998,1.52,0.10800000000000001,74.54,212559409,25.04,2.2
1.3565608581320123,-58,-19,-48,-57,-45,20,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,5717,26.896,5.354,0.198,74.54,212559409,25.04,2.2
1.3583086670732856,-59,-17,-48,-57,-45,20,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,6836,32.16,5.263999999999999,0.188,74.54,212559409,25.04,2.2
1.3598588454621634,-60,-14,-52,-55,-42,20,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,7910,37.213,5.053,0.273,74.54,212559409,25.04,2.2
1.3610423200465511,-63,-13,-60,-53,-35,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,9056,42.605,5.391,0.282,74.54,212559409,25.04,2.2
1.361417084840281,-67,-24,-66,-57,-30,15,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,10278,48.354,5.749,0.34299999999999997,74.54,212559409,25.04,2.2
1.3613222304426529,-56,-14,-53,-53,-38,18,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,11130,52.361999999999995,4.008,0.254,74.54,212559409,25.04,2.2
1.3607917163143308,-53,-8,-50,-53,-40,17,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,12056,56.718,4.356,0.315,74.54,212559409,25.04,2.2
1.359813995503869,-52,-7,-46,-52,-40,18,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,13717,64.533,7.814,0.536,74.54,212559409,25.04,2.2
1.3584706787002605,-49,11,-40,-49,-41,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,15927,74.93,10.397,0.626,74.54,212559409,25.04,2.2
1.3571477851429186,-76,-38,-58,-69,-72,27,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,17857,84.009,9.08,0.6629999999999999,74.54,212559409,25.04,2.2
1.3557105816275985,-59,-5,-59,-52,-36,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,19638,92.38799999999999,8.379,0.541,74.54,212559409,25.04,2.2
1.353746622184564,-67,-25,-67,-55,-26,13,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,20727,97.512,5.122999999999999,0.32,74.54,212559409,25.04,2.2
1.3516191819221812,-54,-19,-52,-53,-35,17,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,22169,104.296,6.784,0.466,74.54,212559409,25.04,2.2
1.3493805543875648,-56,-20,-54,-55,-39,18,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,23430,110.228,5.932,0.494,74.54,212559409,25.04,2.2
1.3470313332458042,-54,-17,-47,-53,-38,18,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,25262,118.84700000000001,8.619,0.96,74.54,212559409,25.04,2.2
1.3446588733019538,-56,-14,-46,-53,-38,18,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,28320,133.233,14.387,0.96,74.54,212559409,25.04,2.2
1.3426484831805507,-55,-11,-50,-51,-36,19,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,30425,143.136,9.902999999999999,0.884,74.54,212559409,25.04,2.2
1.3408583521999566,-61,-15,-59,-50,-28,15,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,33682,158.459,15.323,1.021,74.54,212559409,25.04,2.2
1.3388628217955625,-67,-23,-64,-56,-25,14,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,36599,172.18200000000002,13.722999999999999,0.9690000000000001,74.54,212559409,25.04,2.2
1.3370061892977063,-53,-11,-47,-53,-39,17,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,38654,181.85,9.668,0.541,74.54,212559409,25.04,2.2
1.3353165044035251,-71,-37,-51,-68,-67,23,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,40581,190.916,9.066,0.532,74.54,212559409,25.04,2.2
1.333765467031562,-53,-15,-45,-51,-34,17,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,43079,202.668,11.752,0.7809999999999999,74.54,212559409,25.04,2.2
1.3324076066716288,-56,-17,-44,-54,-36,18,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,45757,215.267,12.599,0.7759999999999999,74.54,212559409,25.04,2.2
1.331592278205477,-55,-14,-48,-50,-32,18,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,49492,232.838,17.572,1.915,74.54,212559409,25.04,2.2
1.3311394573993989,-59,-14,-55,-48,-25,15,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,52995,249.31900000000002,16.48,1.68,74.54,212559409,25.04,2.2
1.3305839255711291,-65,-22,-61,-54,-23,14,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,58509,275.26,25.941,1.6280000000000001,77.31,212559409,25.04,2.2
1.3302300093841393,-54,-19,-50,-51,-30,17,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,61888,291.156,15.897,0.889,77.31,212559409,25.04,2.2
1.3300663137968591,-53,-16,-48,-50,-33,13,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,66501,312.858,21.701999999999998,1.59,77.31,212559409,25.04,2.2
1.3300265346327371,-52,-15,-43,-50,-32,17,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,71886,338.19300000000004,25.334,2.23,77.31,212559409,25.04,2.2
1.3301295092950736,-48,3,-37,-46,-31,14,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,78162,367.718,29.526,2.112,77.31,212559409,25.04,2.2
1.3306920201742956,-71,-33,-49,-66,-66,25,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,85380,401.676,33.958,2.046,77.31,212559409,25.04,2.2
1.3195653442353303,-57,-7,-54,-50,-27,15,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,91589,430.88699999999994,29.211,2.0140000000000002,77.31,212559409,25.04,2.2
1.3081999763263241,-65,-21,-62,-54,-21,13,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,96559,454.26800000000003,23.381999999999998,1.9809999999999999,77.31,212559409,25.04,2.2
1.2968809685878262,-50,-10,-48,-48,-27,15,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,101147,475.853,21.585,1.294,77.31,212559409,25.04,2.2
1.285583022068444,-50,-7,-47,-48,-31,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,107780,507.05800000000005,31.205,1.393,81.02,212559409,25.04,2.2
1.2742315540670872,-49,-6,-44,-48,-31,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,114715,539.684,32.626,2.823,81.02,212559409,25.04,2.2
1.2628428656955095,-48,1,-43,-47,-31,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,125218,589.096,49.412,2.8930000000000002,81.02,212559409,25.04,2.2
1.2517369226032289,-46,7,-43,-43,-28,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,135106,635.615,46.519,2.87,81.02,212559409,25.04,2.2
1.2407137150652034,-47,10,-52,-40,-19,13,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,145328,683.705,48.09,3.533,81.02,212559409,25.04,2.2
1.2292977753449774,-59,-4,-62,-45,-5,10,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,155939,733.625,49.92,3.4339999999999997,81.02,212559409,25.04,2.2
1.2177930123484535,-49,-11,-47,-47,-27,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,162699,765.428,31.803,2.333,81.02,212559409,25.04,2.2
1.2061973014104703,-51,-11,-49,-48,-31,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,168331,791.924,26.496,1.8630000000000002,81.02,212559409,25.04,2.2
1.194462921202024,-51,-14,-46,-49,-31,17,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,177589,835.4789999999999,43.555,4.145,81.02,212559409,25.04,2.2
1.1826360073280329,-52,-12,-46,-49,-31,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,188974,889.041,53.56100000000001,3.5239999999999996,81.02,212559409,25.04,2.2
1.1710685534127196,-52,-7,-49,-48,-29,18,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,202918,954.6410000000001,65.6,3.971,81.02,212559409,25.04,2.2
1.159593945110262,-55,-8,-56,-46,-21,15,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,218223,1026.645,72.003,3.877,81.02,212559409,25.04,2.2
1.1477706250859794,-63,-17,-61,-52,-16,14,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,233142,1096.8319999999999,70.187,3.839,81.02,212559409,25.04,2.2
1.1359360695105316,-50,-13,-48,-48,-26,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,241080,1134.177,37.345,2.282,81.02,212559409,25.04,2.2
1.1241205343252116,-51,-13,-48,-48,-29,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,254220,1195.995,61.818000000000005,3.1710000000000003,81.02,212559409,25.04,2.2
1.1123066830757766,-50,-8,-43,-49,-31,17,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,271628,1277.892,81.89699999999999,5.547000000000001,81.02,212559409,25.04,2.2
