level_0,index,Core CPI,Unemployment rate,Stock Markets
111,2017M04 [2017M04],117.7140255,4.4,112.5441123
112,2017M05 [2017M05],118.2035519,4.4,117.5574795
113,2017M06 [2017M06],118.2832423,4.3,116.8901342
114,2017M07 [2017M07],118.1580146,4.3,117.5825649
115,2017M08 [2017M08],118.9093807,4.3,117.6665406
116,2017M09 [2017M09],119.1029144,4.2,119.8739421
117,2017M10 [2017M10],119.1370674,4.3,121.6305193
118,2017M11 [2017M11],119.5241348,4.4,120.9840047
119,2017M12 [2017M12],119.7973588,4.3,123.5393234
120,2018M01 [2018M01],119.0801457,4.2,131.8990084
121,2018M02 [2018M02],119.7404372,4.2,124.6699202
122,2018M03 [2018M03],119.8770492,4.2,122.4913293
123,2018M04 [2018M04],120.3665756,4.2,126.2668908
124,2018M05 [2018M05],120.7764117,4,127.333401
125,2018M06 [2018M06],120.6397996,4,125.3343759
126,2018M07 [2018M07],120.548725,4,123.8810746
127,2018M08 [2018M08],121.4253188,4.1,120.3590316
128,2018M09 [2018M09],121.4594718,4.1,118.9965647
129,2018M10 [2018M10],121.4708561,4,114.0179032
130,2018M11 [2018M11],121.9376138,4,111.4223641
131,2018M12 [2018M12],122.1539162,3.9,105.0893608
132,2019M01 [2019M01],121.4253188,3.9,108.7413474
133,2019M02 [2019M02],122.0514572,3.8,114.0112952
134,2019M03 [2019M03],122.2677596,3.8,116.2514184
135,2019M04 [2019M04],122.5865209,3.8,118.5677358
136,2019M05 [2019M05],122.8483607,3.9,114.4764138
137,2019M06 [2019M06],122.8369763,3.8,113.9602287
138,2019M07 [2019M07],122.893898,3.9,114.8505148
139,2019M08 [2019M08],123.4631148,3.8,107.0615009
140,2019M09 [2019M09],123.6566485,3.8,111.0019692
141,2019M10 [2019M10],123.7249545,3.8,112.4582561
142,2019M11 [2019M11],123.9071038,3.8,116.7848293
143,2019M12 [2019M12],123.8501821,3.9,120.5115288
144,2020M01 [2020M01],123.3720401,4,122.8320985
145,2020M02 [2020M02],123.9981785,3.9,118.0023279
146,2020M03 [2020M03],124.1803279,3.9,88.23372945
147,2020M04 [2020M04],124.5218579,3.9,87.51658834
148,2020M05 [2020M05],124.5332423,3.9,90.2705829
149,2020M06 [2020M06],124.7495446,3.9,96.74215209
150,2020M07 [2020M07],124.7495446,3.9,96.55178735
