level_0,index,Core CPI,Unemployment rate,Stock Markets
111,2017M04 [2017M04],112.1863799,6.5,104.0611087
112,2017M05 [2017M05],112.4551971,6.6,101.9675694
113,2017M06 [2017M06],112.5448029,6.4,103.0897539
114,2017M07 [2017M07],112.5448029,6.3,106.9006881
115,2017M08 [2017M08],112.5448029,6.1,107.2726614
116,2017M09 [2017M09],112.7240143,6.2,111.2604789
117,2017M10 [2017M10],113.0824373,6.2,112.4157416
118,2017M11 [2017M11],113.0824373,6,112.3679118
119,2017M12 [2017M12],112.5448029,5.8,112.5509634
120,2018M01 [2018M01],113.0824373,5.8,116.7179757
121,2018M02 [2018M02],113.8888889,5.8,109.8143968
122,2018M03 [2018M03],114.3369176,5.8,107.185881
123,2018M04 [2018M04],114.2473118,5.9,108.0916743
124,2018M05 [2018M05],114.3369176,5.9,111.0791596
125,2018M06 [2018M06],114.516129,6,110.8172396
126,2018M07 [2018M07],115.1433692,5.8,111.9762862
127,2018M08 [2018M08],115.1433692,6,112.0728912
128,2018M09 [2018M09],114.7849462,5.9,110.7154216
129,2018M10 [2018M10],115.4121864,5.8,106.1366514
130,2018M11 [2018M11],115.0537634,5.6,102.6696595
131,2018M12 [2018M12],115.1433692,5.7,96.91300644
132,2019M01 [2019M01],115.2329749,5.8,101.1996148
133,2019M02 [2019M02],116.1290323,5.8,107.1300145
134,2019M03 [2019M03],116.4874552,5.7,107.8798653
135,2019M04 [2019M04],116.5770609,5.7,110.146831
136,2019M05 [2019M05],117.1146953,5.4,108.4405295
137,2019M06 [2019M06],117.2043011,5.6,109.9944669
138,2019M07 [2019M07],117.6523297,5.7,112.8260612
139,2019M08 [2019M08],117.6523297,5.7,109.4406045
140,2019M09 [2019M09],117.2043011,5.5,112.7222256
141,2019M10 [2019M10],117.7419355,5.6,111.3065229
142,2019M11 [2019M11],117.3835125,5.9,114.3693443
143,2019M12 [2019M12],117.2043011,5.6,115.6023995
144,2020M01 [2020M01],117.3835125,5.5,118.8298818
145,2020M02 [2020M02],118.3691756,5.6,118.1377424
146,2020M03 [2020M03],118.4587814,7.8,88.66972877
147,2020M04 [2020M04],118.1003584,13,89.61720308
148,2020M05 [2020M05],117.8315412,13.7,95.36270593
149,2020M06 [2020M06],118.3691756,12.3,102.1577912
150,2020M07 [2020M07],118.3691756,12.3,104.8713723
