level_0,index,Core CPI,Unemployment rate,Stock Markets
110,2017M03 [2017M03],125.2663801,3.53,99.98429087
111,2017M04 [2017M04],125.8297904,3.46,104.9926951
112,2017M05 [2017M05],126.1761502,3.57,105.2787954
113,2017M06 [2017M06],126.5602637,3.26,108.5426186
114,2017M07 [2017M07],126.899257,3.26,114.5100059
115,2017M08 [2017M08],127.2214125,3.34,115.2179602
116,2017M09 [2017M09],127.5804007,3.34,113.0537694
117,2017M10 [2017M10],127.9025562,3.43,106.0892629
118,2017M11 [2017M11],128.3428397,3.49,101.8207825
119,2017M12 [2017M12],128.8805986,3.38,101.3627833
120,2018M01 [2018M01],129.2462957,3.32,106.9077221
121,2018M02 [2018M02],129.8773205,3.32,104.5942755
122,2018M03 [2018M03],130.3057649,3.25,102.394054
123,2018M04 [2018M04],130.4975585,3.38,104.9814859
124,2018M05 [2018M05],130.8328685,3.24,94.17883443
125,2018M06 [2018M06],131.1356868,3.37,91.55482631
126,2018M07 [2018M07],131.5119075,3.33,102.9188042
127,2018M08 [2018M08],131.83551,3.29,104.8064821
128,2018M09 [2018M09],132.2623758,3.34,103.983227
129,2018M10 [2018M10],132.6725354,3.17,98.52257005
130,2018M11 [2018M11],133.0063984,3.33,84.54785537
131,2018M12 [2018M12],133.6274257,3.63,82.69327877
132,2019M01 [2019M01],133.8935427,3.47,90.90486725
133,2019M02 [2019M02],134.4715546,3.42,90.44900747
134,2019M03 [2019M03],134.9344639,3.6,88.28983247
135,2019M04 [2019M04],135.5490455,3.47,94.3317186
136,2019M05 [2019M05],135.7712262,3.55,90.50423365
137,2019M06 [2019M06],136.1834905,3.54,90.30838741
138,2019M07 [2019M07],136.5370854,3.56,88.80171684
139,2019M08 [2019M08],136.8146468,3.55,81.5482051
140,2019M09 [2019M09],137.222307,3.52,87.62534373
141,2019M10 [2019M10],137.5599848,3.58,89.60432677
142,2019M11 [2019M11],137.8647763,3.5,90.09619683
143,2019M12 [2019M12],138.4305544,3.15,91.20844809
144,2020M01 [2020M01],138.8821508,3.66,95.55988883
145,2020M02 [2020M02],139.387681,3.7,93.88770752
146,2020M03 [2020M03],139.7969197,3.26,67.90999258
147,2020M04 [2020M04],140.2986351,3.26,57.11315776
148,2020M05 [2020M05],140.7176082,3.26,62.26412561
149,2020M06 [2020M06],141.2352406,3.26,68.21296784
150,2020M07 [2020M07],141.2352406,3.26,65.9644414
